,method,iteration,total,M_per,method,iteration,total,M_per
d05100,Kelly,827,36.46700382232666,0.16099791037077796,Stab.,601,32.15723204612732,0.1270177485094478
d10100,Kelly,253,11.362839221954346,0.062151473392355536,Stab.,601,45.30163311958313,0.09876342610487643
d10200,Kelly,931,182.83506202697754,0.28898013324525795,Stab.,636,146.20685577392578,0.28018571687976246
d20100,Kelly,165,10.200598955154419,0.04191154041586152,Stab.,601,64.37731719017029,0.10351369970101947
d20200,Kelly,401,74.89171695709229,0.12823483054832682,Stab.,601,156.28167295455933,0.09661218944790557
e05100,Kelly,717,14.229084730148315,0.23256371576318677,Stab.,601,19.29663395881653,0.25219892057971205
e10100,Kelly,274,7.173761606216431,0.10485287385787925,Stab.,601,30.403157949447632,0.17880882601732798
e10200,Kelly,1055,113.53242421150208,0.49196638096139544,Stab.,938,141.51428985595703,0.5000343509701584
e20100,Kelly,165,7.322173118591309,0.05090241945107569,Stab.,601,55.7980170249939,0.14860027420552993
e20200,Kelly,400,44.1490318775177,0.2074351787650252,Stab.,601,116.47215485572815,0.21814608942194158
