,method,iteration,total,M_per,method,iteration,total,M_per
d05100,Kelly+Sep,2296,44.57144093513489,0.6092531349271777,Stab+Sep.,2321,49.798632860183716,0.6631255035492643
d10100,Kelly+Sep,949,6.383833169937134,0.31854363067698466,Stab+Sep.,858,7.248249053955078,0.3976132121381531
d10200,Kelly+Sep,3253,132.4903781414032,0.6707345302881809,Stab+Sep.,3703,193.21132588386536,0.7346132826351287
d20100,Kelly+Sep,673,3.2368271350860596,0.28552885858700294,Stab+Sep.,629,4.150677919387817,0.4094473341310395
d20200,Kelly+Sep,1862,32.864455223083496,0.5081925934119692,Stab+Sep.,2288,52.38093376159668,0.5895489065764885
e05100,Kelly+Sep,3487,74.37236380577087,0.8601874671999635,Stab+Sep.,2761,37.61103582382202,0.7616006628515176
e10100,Kelly+Sep,1160,6.638538837432861,0.542747999926412,Stab+Sep.,1261,8.934121131896973,0.5837820902354253
e10200,Kelly+Sep,4328,186.96593689918518,0.8731549548019389,Stab+Sep.,4455,218.22169709205627,0.8836667643803019
e20100,Kelly+Sep,711,2.8105380535125732,0.3569801223563959,Stab+Sep.,644,3.499425172805786,0.45815721943350163
e20200,Kelly+Sep,2390,44.16804218292236,0.7549097767902727,Stab+Sep.,2713,61.78206396102905,0.7826133658071992
