,method,iteration,total,M_per,pivot_ite,method,iteration,total,M_per,pivot_ite
d05100,Kelly,746,5.501982927322388,0.8837300596632852,169.77242302543507,Sep,592,6.7980451583862305,0.9123883371853281,109.06070826306915
d10100,Kelly,167,1.1315739154815674,0.7305063917912173,105.25595238095238,Sep,161,2.0244359970092773,0.826800024000917,127.74074074074075
d10200,Kelly,831,34.43219208717346,0.9227728847549482,726.2980769230769,Sep,651,45.77668213844299,0.9580571384587948,338.3911042944785
d20100,Kelly,75,0.8501062393188477,0.5256751689768144,121.84210526315789,Sep,72,1.4231219291687012,0.7316966579341257,167.46575342465752
d20200,Kelly,235,7.538393974304199,0.8122445938686789,357.0381355932203,Sep,224,16.316150903701782,0.8913498896691864,362.5022222222222
e05100,Kelly,597,3.399899959564209,0.8701589325345762,126.34113712374582,Sep,502,6.693054914474487,0.9265425805432068,125.98807157057654
e10100,Kelly,193,1.2074828147888184,0.7367308845686869,111.72680412371135,Sep,165,2.1338701248168945,0.8468081599208086,140.1265060240964
e10200,Kelly,987,44.56840682029724,0.9424544732877893,848.6923076923077,Sep,741,51.47244429588318,0.9605734984972971,352.8342318059299
e20100,Kelly,93,0.7995288372039795,0.5866785971905287,135.12765957446808,Sep,94,1.9731390476226807,0.736802453558839,172.13684210526316
e20200,Kelly,244,7.935672760009766,0.8470726432178104,495.2938775510204,Sep,264,16.378905296325684,0.9042352894839867,383.4754716981132
